INFO:__main__:File(name='.idea', extension='', dir=True, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='.gitignore', extension='', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='DZ15', extension='.iml', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='inspectionProfiles', extension='', dir=True, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='profiles_settings', extension='.xml', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea/inspectionProfiles'))
INFO:__main__:File(name='misc', extension='.xml', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='modules', extension='.xml', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='workspace', extension='.xml', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/.idea'))
INFO:__main__:File(name='logs', extension='', dir=True, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='data_path', extension='.log', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/logs'))
INFO:__main__:File(name='debug_info', extension='.log', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/logs'))
INFO:__main__:File(name='warnings_errors', extension='.log', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/logs'))
INFO:__main__:File(name='Task1', extension='.py', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='Task2', extension='.py', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='Task3', extension='.py', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='Task4', extension='.py', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='Task5', extension='.py', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='__pycache__', extension='', dir=True, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15'))
INFO:__main__:File(name='Task4.cpython-312', extension='.pyc', dir=False, parent=WindowsPath('C:/Users/Andr/Desktop/ee/Python2/123/DZ15/__pycache__'))
